d18o,sss,lat,lon,depth,ref,temp,region,type,
-1.58,33.29,86.08,21.99,24,Bauch et al (1995),-1.8,Svalbard,outlier,
-1.1,33.61,85.37,26.14,21,Bauch et al (1995),-1.8,Svalbard,outlier,
-1.07,33.58,85.52,25.29,25,Bauch et al (1995),-1.81,Svalbard,outlier,
-0.75,33.87,85.08,29.3,20,Bauch et al (1995),-1.81,Svalbard,outlier,
-0.63,33.61,81.86,16.46,16,Bauch et al (1995),-1.82,Svalbard,outlier,
-0.41,33.54,83.58,27.96,10,Bauch et al (1995),-1.68,Svalbard,outlier,
-0.34,33.88,83.58,27.96,20,Bauch et al (1995),-1.6,Svalbard,outlier,
0,32.06,81.34,19.84,5,Bauch et al (1995),1.54,Svalbard,secondary,
0.36,29.59,80.73,29.52,15,Ostlund and Hut (1984),-1.72,Svalbard,secondary,
-0.11,31.63,78.18,29.3,0,Ostlund and Grall (1993),0.5,Svalbard,secondary,
-0.06,31.904,82.99,28.66,6,CHARCOT,,Svalbard,secondary,
0.14,32.03,81.08,16.22,10,Ostlund and Grall (1993),**,Svalbard,secondary,
-0.06,32.2,80.9,16.47,10,Ostlund and Grall (1993),**,Svalbard,secondary,
0.04,32.32,79.75,29.3,0,Ostlund and Grall (1993),-1,Svalbard,secondary,
0.18,32.44,80.42,29.43,10,Ostlund and Hut (1984),-1.71,Svalbard,secondary,
0.05,32.63,78.42,25.92,0,Ostlund and Grall (1993),1.5,Svalbard,secondary,
0.38,32.87,75.92,25.38,0,Ostlund and Grall (1993),3.5,Svalbard,secondary,
-0.1,32.98,79.07,23.1,6,CDOHC ID:58AA20000923,-1.56,Svalbard,secondary,
-0.08,33.009,81.51,24.53,6,CHARCOT,,Svalbard,secondary,
0.02,33.02,79.15,23.47,5,CDOHC ID:58AA20000923,-1.55,Svalbard,secondary,
0.13,33.03,81.58,22.65,11,Ostlund and Hut (1984),-1.68,Svalbard,secondary,
0.4,33.17,80.42,29.43,15,Ostlund and Hut (1984),-1.7,Svalbard,secondary,
0.46,33.65,80.73,29.52,25,Ostlund and Hut (1984),-1.21,Svalbard,secondary,
0.53,33.91,76.53,21.85,0,Ostlund and Grall (1993),4,Svalbard,secondary,
0.37,33.37,80.42,29.43,25,Ostlund and Hut (1984),-1.56,Svalbard,secondary,
0.27,33.49,78.78,21.61,4,CDOHC ID:58AA20000923,-0.66,Svalbard,secondary,
0.3,33.45,77.55,19.1,10,Ostlund and Grall (1993),**,Svalbard,secondary,
